id,antelope_duiker,bird,blank,civet_genet,hog,leopard,monkey_prosimian,rodent
ZJ016488,0.00048130905,4.6739488e-06,0.0024028681,0.99639964,4.409274e-06,0.00022593747,4.411108e-06,0.00047679304
ZJ016489,0.048294734,0.9300772,0.015037198,0.001131444,5.185889e-05,4.4023986e-05,0.0005774077,0.0047861612
ZJ016490,0.98575926,0.0011175042,0.0052145384,0.0049686753,0.002789364,5.7377925e-05,4.4217563e-06,8.8934554e-05
ZJ016491,7.052047e-07,9.680617e-07,1.90411e-05,1.2722905e-06,2.1411759e-06,0.9999752,6.9058416e-07,4.5136e-08
ZJ016492,0.012460954,0.0011473477,0.028400984,0.00014742167,0.0003405508,8.176817e-05,0.9105273,0.0468936
ZJ016493,0.0026932266,0.9971595,7.567166e-05,2.327225e-05,1.7983822e-06,1.3943117e-05,2.4709027e-05,8.0242335e-06
ZJ016494,0.026443005,9.539461e-05,0.940816,1.1872861e-05,5.2456457e-05,0.00027699492,0.031138137,0.0011661506
ZJ016495,0.0024736302,1.4958991e-05,9.956995e-05,2.57775e-05,2.7056769e-05,0.00012992093,0.9972277,1.2367749e-06
ZJ016496,0.016372183,0.44401404,0.01301855,0.00035869557,0.00073692406,0.47552294,0.04931342,0.00066321174
ZJ016497,0.15455432,4.2054646e-05,0.00034955135,8.133053e-05,0.14606029,0.0021433271,0.69676715,2.0305592e-06
ZJ016498,0.007632321,0.0035998062,0.10070527,0.00053195294,0.00027183388,0.88439775,0.0027276785,0.00013331369
ZJ016499,0.12832107,0.59840775,0.1762495,0.0010030766,0.00011326731,0.007877072,0.0879122,0.000116011106
ZJ016500,0.21100493,0.0013416029,0.025397293,0.0010339541,1.3290542e-06,1.8542134e-05,0.032752443,0.72844994
ZJ016501,0.6660102,0.00016546375,0.22433473,0.079560556,8.632557e-05,0.0002946353,0.00014145901,0.02940674
ZJ016502,0.031565487,0.00041903125,0.4992931,0.25652227,1.9846399e-05,0.0004958686,0.0002969892,0.21138744
ZJ016503,0.017242812,0.70680135,0.04014315,3.488684e-05,1.649724e-05,5.497811e-05,0.2292452,0.0064610876
ZJ016504,0.5056055,0.005066203,0.47709,0.00020776056,2.7417134e-05,6.1719686e-05,0.008645779,0.0032956414
ZJ016505,0.18230136,1.969368e-05,0.8168754,7.7764875e-05,4.876518e-06,7.80705e-05,6.300505e-05,0.00057980564
ZJ016506,0.12479613,0.0011324598,0.078757696,0.00010812001,3.7717316e-05,3.0456773e-05,0.756936,0.038201362
ZJ016507,0.9933594,5.1887156e-07,0.0057480866,0.00017619933,0.0005597291,6.0270254e-06,0.00014122306,8.880199e-06
ZJ016508,0.008220929,0.00012272556,0.9834229,0.0008051817,1.12287635e-05,1.8944864e-05,0.00012861859,0.007269557
ZJ016509,7.5347853e-06,0.99997926,5.906444e-06,2.9750095e-06,1.9007321e-07,9.506797e-07,1.2108075e-07,3.0990125e-06
ZJ016510,0.60576093,0.00030063206,0.34706745,0.03451316,0.0018747754,0.00013596722,0.0022427351,0.008104299
ZJ016511,0.038213003,0.00068048923,0.949551,0.005943756,1.9125258e-05,0.0013791939,0.0012809822,0.0029323858
ZJ016512,0.0014198459,0.913104,0.084473036,8.898986e-06,1.6059596e-05,0.00023483313,0.0007189163,2.441127e-05
ZJ016513,0.0003391629,0.9991596,0.00011265265,1.9055938e-06,4.632327e-06,6.797657e-05,0.0003094291,4.608515e-06
ZJ016514,0.17219232,0.18280365,0.45477852,0.1856803,0.0014496319,0.0001851782,3.3165354e-05,0.0028772545
